order_id,order_date,region,category,product,customer_segment,quantity,unit_price,discount,revenue,cost,profit
ORD-00134,2024-01-20,North,Sports,Dumbbells,Wholesale,3,34.99,0.1,94.47,49.18,45.29
ORD-00135,2025-10-09,East,Sports,Treadmill,Retail,1,499.0,0.2,399.2,242.05,157.15
ORD-00136,2025-06-22,East,Clothing,T-Shirt,Wholesale,4,19.99,0.2,63.97,39.61,24.36
ORD-00137,2022-08-27,South,Electronics,Laptop,Corporate,4,899.0,0.0,3596.0,1670.63,1925.37
ORD-00138,2022-10-05,West,Sports,Treadmill,Wholesale,5,499.0,0.2,1996.0,1394.68,601.32
ORD-00139,2025-09-03,North,Sports,Resistance Band,Wholesale,4,15.99,0.1,57.56,29.1,28.46
ORD-00140,2023-03-21,West,Sports,Yoga Mat,Corporate,2,24.99,0.2,39.98,25.24,14.74
ORD-00141,2024-01-05,North,Sports,Treadmill,Wholesale,2,499.0,0.1,898.2,591.17,307.03
ORD-00142,2022-07-07,South,Electronics,Laptop,Retail,2,899.0,0.0,1798.0,1021.35,776.65
ORD-00143,2022-05-21,South,Clothing,Jeans,Corporate,3,49.99,0.0,149.97,85.23,64.74
ORD-00144,2022-01-06,East,Clothing,Jeans,Retail,5,49.99,0.0,249.95,142.42,107.53
ORD-00145,2025-09-15,North,Clothing,T-Shirt,Retail,3,19.99,0.0,59.97,32.28,27.69
ORD-00146,2022-12-23,East,Electronics,Smartphone,Wholesale,4,699.0,0.2,2236.8,1284.86,951.94
ORD-00147,2024-01-12,North,Sports,Resistance Band,Corporate,2,15.99,0.1,28.78,14.6,14.18
ORD-00148,2024-12-03,East,Sports,Dumbbells,Wholesale,1,34.99,0.1,31.49,20.19,11.3
ORD-00149,2025-11-06,North,Sports,Water Bottle,Retail,1,12.99,0.0,12.99,6.47,6.52
ORD-00150,2022-05-15,South,Home & Kitchen,Lamp,Wholesale,5,24.99,0.1,112.45,69.58,42.87
ORD-00151,2025-05-08,East,Sports,Resistance Band,Corporate,5,15.99,0.05,75.95,37.17,38.78
ORD-00152,2022-08-23,South,Sports,Water Bottle,Wholesale,2,12.99,0.1,23.38,13.01,10.37
ORD-00153,2024-03-27,West,Electronics,Headphones,Wholesale,3,149.0,0.1,402.3,247.2,155.1
ORD-00154,2022-05-18,North,Electronics,Laptop,Retail,3,899.0,0.2,2157.6,1364.4,793.2
ORD-00155,2025-02-13,North,Home & Kitchen,Mixer,Wholesale,4,39.99,0.1,143.96,92.94,51.02
ORD-00156,2022-04-16,East,Home & Kitchen,Toaster,Retail,1,29.99,0.1,26.99,15.78,11.21
ORD-00157,2025-09-06,West,Clothing,T-Shirt,Wholesale,4,19.99,0.1,71.96,37.36,34.6
ORD-00158,2025-03-21,South,Sports,Resistance Band,Corporate,5,15.99,0.1,71.95,44.07,27.88
ORD-00159,2022-02-23,East,Electronics,Smartphone,Wholesale,3,699.0,0.1,1887.3,1233.52,653.78
ORD-00160,2022-01-13,South,Clothing,Dress,Corporate,4,59.99,0.0,239.96,113.09,126.87
ORD-00161,2022-03-04,North,Clothing,Sneakers,Wholesale,4,79.99,0.1,287.96,160.34,127.62
ORD-00162,2023-10-01,East,Electronics,Laptop,Retail,1,899.0,0.1,809.1,411.26,397.84
ORD-00163,2023-07-12,West,Sports,Water Bottle,Corporate,6,12.99,0.0,77.94,37.59,40.35
ORD-00164,2022-08-22,East,Sports,Dumbbells,Wholesale,3,34.99,0.2,83.98,57.92,26.06
ORD-00165,2024-12-15,East,Electronics,Smartphone,Wholesale,5,699.0,0.1,3145.5,1576.78,1568.72
ORD-00166,2023-03-09,South,Home & Kitchen,Toaster,Corporate,3,29.99,0.0,89.97,40.59,49.38
ORD-00167,2024-05-31,South,Clothing,Sneakers,Corporate,5,79.99,0.2,319.96,193.78,126.18
ORD-00168,2025-09-30,East,Electronics,Monitor,Wholesale,1,279.0,0.1,251.1,164.1,87.0
ORD-00169,2025-03-25,West,Sports,Water Bottle,Retail,2,12.99,0.0,25.98,15.46,10.52
ORD-00170,2025-06-19,West,Home & Kitchen,Mixer,Wholesale,5,39.99,0.1,179.96,103.04,76.92
ORD-00171,2024-12-09,North,Sports,Treadmill,Retail,3,499.0,0.0,1497.0,748.44,748.56
ORD-00172,2022-06-06,North,Clothing,Jacket,Corporate,3,89.99,0.2,215.98,160.29,55.69
ORD-00173,2022-10-30,South,Electronics,Smartphone,Corporate,2,699.0,0.1,1258.2,661.16,597.04
ORD-00174,2022-06-04,South,Sports,Water Bottle,Corporate,5,12.99,0.1,58.46,33.6,24.86
ORD-00175,2025-08-09,East,Home & Kitchen,Coffee Maker,Corporate,4,59.99,0.0,239.96,124.86,115.1
ORD-00176,2023-09-13,East,Electronics,Headphones,Retail,4,149.0,0.05,566.2,308.6,257.6
ORD-00177,2024-01-26,East,Electronics,Laptop,Corporate,5,899.0,0.05,4270.25,2334.73,1935.52
ORD-00178,2022-03-26,West,Clothing,Jacket,Wholesale,6,89.99,0.1,485.95,320.54,165.41
ORD-00179,2022-07-31,East,Electronics,Tablet,Wholesale,1,329.0,0.2,263.2,169.65,93.55
ORD-00180,2024-12-09,South,Home & Kitchen,Toaster,Wholesale,3,29.99,0.1,80.97,46.0,34.97
ORD-00181,2025-10-22,North,Home & Kitchen,Mixer,Wholesale,3,39.99,0.1,107.97,64.03,43.94
ORD-00182,2023-08-05,East,Clothing,Jacket,Wholesale,1,89.99,0.1,80.99,49.45,31.54
ORD-00183,2023-09-28,West,Clothing,Dress,Wholesale,1,59.99,0.1,53.99,32.79,21.2
ORD-00184,2022-09-19,North,Sports,Resistance Band,Retail,3,15.99,0.0,47.97,24.2,23.77
ORD-00185,2023-03-15,East,Sports,Yoga Mat,Wholesale,2,24.99,0.1,44.98,23.65,21.33
ORD-00186,2022-07-27,North,Home & Kitchen,Lamp,Retail,2,24.99,0.1,44.98,25.32,19.66
ORD-00187,2023-01-06,South,Sports,Dumbbells,Retail,4,34.99,0.0,139.96,77.18,62.78
ORD-00188,2024-06-28,East,Sports,Yoga Mat,Wholesale,5,24.99,0.1,112.45,62.03,50.42
ORD-00189,2023-02-02,East,Sports,Water Bottle,Wholesale,3,12.99,0.1,35.07,20.48,14.59
ORD-00190,2022-11-28,South,Clothing,Jacket,Wholesale,1,89.99,0.2,71.99,46.98,25.01
ORD-00191,2025-02-09,North,Electronics,Headphones,Corporate,1,149.0,0.0,149.0,77.09,71.91
ORD-00192,2022-10-29,West,Electronics,Smartphone,Corporate,8,699.0,0.05,5312.4,2561.07,2751.33
ORD-00193,2024-02-05,South,Sports,Dumbbells,Retail,3,34.99,0.0,104.97,47.68,57.29
ORD-00194,2025-08-24,East,Clothing,Jeans,Wholesale,1,49.99,0.1,44.99,29.37,15.62
ORD-00195,2025-11-26,South,Sports,Water Bottle,Retail,5,12.99,0.0,64.95,38.05,26.9
ORD-00196,2023-06-09,South,Clothing,Dress,Wholesale,5,59.99,0.1,269.95,154.02,115.93
ORD-00197,2023-05-02,East,Electronics,Laptop,Retail,2,899.0,0.1,1618.2,932.38,685.82
ORD-00198,2024-10-20,North,Clothing,Jeans,Wholesale,3,49.99,0.1,134.97,67.52,67.45
ORD-00199,2023-05-08,West,Clothing,T-Shirt,Corporate,7,19.99,0.0,139.93,82.98,56.95
ORD-00200,2024-11-05,North,Sports,Water Bottle,Wholesale,1,12.99,0.2,10.39,6.6,3.79
ORD-00201,2023-06-04,North,Home & Kitchen,Mixer,Corporate,3,39.99,0.0,119.97,67.18,52.79
ORD-00202,2022-08-01,East,Clothing,T-Shirt,Corporate,3,19.99,0.1,53.97,30.03,23.94
ORD-00203,2022-12-25,West,Sports,Yoga Mat,Retail,1,24.99,0.05,23.74,11.38,12.36
ORD-00204,2022-03-31,South,Electronics,Headphones,Retail,3,149.0,0.1,402.3,232.89,169.41
ORD-00205,2025-08-17,South,Home & Kitchen,Toaster,Retail,1,29.99,0.2,23.99,14.99,9.0
ORD-00206,2024-01-24,West,Sports,Water Bottle,Wholesale,4,12.99,0.1,46.76,27.25,19.51
ORD-00207,2024-01-23,East,Electronics,Monitor,Wholesale,1,279.0,0.1,251.1,148.38,102.72
ORD-00208,2022-07-30,North,Home & Kitchen,Toaster,Wholesale,3,29.99,0.1,80.97,48.62,32.35
ORD-00209,2022-12-08,West,Home & Kitchen,Vacuum,Wholesale,1,129.99,0.1,116.99,70.48,46.51
ORD-00210,2023-07-17,North,Electronics,Monitor,Retail,3,279.0,0.2,669.6,461.95,207.65
ORD-00211,2022-10-20,West,Electronics,Smartphone,Corporate,1,699.0,0.0,699.0,354.69,344.31
ORD-00212,2022-03-08,South,Sports,Treadmill,Corporate,3,499.0,0.05,1422.15,845.0,577.15
ORD-00213,2022-10-09,East,Sports,Treadmill,Retail,3,499.0,0.0,1497.0,889.33,607.67
ORD-00214,2023-01-17,West,Sports,Resistance Band,Retail,1,15.99,0.0,15.99,8.88,7.11
ORD-00215,2025-06-07,East,Sports,Yoga Mat,Wholesale,1,24.99,0.1,22.49,14.44,8.05
ORD-00216,2022-12-20,West,Electronics,Headphones,Retail,4,149.0,0.0,596.0,347.89,248.11
ORD-00217,2025-12-28,South,Home & Kitchen,Lamp,Retail,2,24.99,0.0,49.98,29.88,20.1
ORD-00218,2023-04-30,West,Electronics,Headphones,Retail,6,149.0,0.1,804.6,419.7,384.9
ORD-00219,2022-05-15,East,Sports,Water Bottle,Corporate,5,12.99,0.05,61.7,36.72,24.98
ORD-00220,2022-06-01,South,Home & Kitchen,Mixer,Wholesale,4,39.99,0.1,143.96,88.3,55.66
ORD-00221,2022-09-20,South,Clothing,Sneakers,Corporate,5,79.99,0.0,399.95,229.85,170.1
ORD-00222,2022-11-10,East,Clothing,Jeans,Corporate,3,49.99,0.2,119.98,72.56,47.42
ORD-00223,2023-08-05,North,Home & Kitchen,Coffee Maker,Wholesale,5,59.99,0.1,269.95,140.61,129.34
ORD-00224,2025-06-12,North,Clothing,Dress,Corporate,5,59.99,0.0,299.95,142.68,157.27
ORD-00225,2025-05-24,East,Electronics,Laptop,Wholesale,1,899.0,0.2,719.2,508.52,210.68
ORD-00226,2025-08-26,South,Sports,Resistance Band,Corporate,1,15.99,0.05,15.19,9.33,5.86
ORD-00227,2023-08-17,East,Sports,Yoga Mat,Corporate,4,24.99,0.0,99.96,51.78,48.18
ORD-00228,2022-05-03,South,Sports,Water Bottle,Corporate,4,12.99,0.05,49.36,24.97,24.39
ORD-00229,2022-10-22,East,Home & Kitchen,Toaster,Corporate,4,29.99,0.0,119.96,67.67,52.29
ORD-00230,2025-02-24,North,Home & Kitchen,Coffee Maker,Retail,4,59.99,0.0,239.96,117.61,122.35
ORD-00231,2022-10-16,North,Electronics,Headphones,Retail,5,149.0,0.05,707.75,362.99,344.76
ORD-00232,2023-11-02,East,Clothing,Jeans,Wholesale,4,49.99,0.1,179.96,103.98,75.98
ORD-00233,2024-10-15,North,Electronics,Monitor,Wholesale,5,279.0,0.1,1255.5,672.77,582.73
ORD-00234,2022-04-10,North,Home & Kitchen,Vacuum,Wholesale,5,129.99,0.2,519.96,358.04,161.92
ORD-00235,2025-01-04,North,Electronics,Monitor,Wholesale,2,279.0,0.2,446.4,281.72,164.68
ORD-00236,2024-01-20,North,Sports,Dumbbells,Corporate,5,34.99,0.1,157.46,83.84,73.62
ORD-00237,2023-08-15,North,Sports,Resistance Band,Corporate,4,15.99,0.1,57.56,31.47,26.09
ORD-00238,2025-10-25,North,Clothing,T-Shirt,Wholesale,4,19.99,0.1,71.96,45.52,26.44
ORD-00239,2025-02-16,East,Clothing,Jeans,Retail,5,49.99,0.1,224.96,127.53,97.43
ORD-00240,2022-04-03,North,Clothing,Jacket,Corporate,4,89.99,0.1,323.96,186.66,137.3
ORD-00241,2024-11-21,South,Home & Kitchen,Lamp,Corporate,3,24.99,0.0,74.97,38.16,36.81
ORD-00242,2023-09-05,East,Sports,Resistance Band,Wholesale,3,15.99,0.1,43.17,27.46,15.71
ORD-00243,2023-11-10,North,Sports,Resistance Band,Corporate,3,15.99,0.2,38.38,27.86,10.52
ORD-00244,2022-02-24,West,Home & Kitchen,Lamp,Retail,5,24.99,0.0,124.95,67.16,57.79
ORD-00245,2024-12-09,West,Clothing,Jeans,Retail,1,49.99,0.2,39.99,23.32,16.67
ORD-00246,2024-06-22,East,Sports,Yoga Mat,Corporate,4,24.99,0.2,79.97,48.04,31.93
ORD-00247,2025-06-06,West,Electronics,Smartphone,Wholesale,4,699.0,0.2,2236.8,1458.83,777.97
ORD-00248,2023-10-05,South,Sports,Resistance Band,Corporate,3,15.99,0.1,43.17,24.14,19.03
ORD-00249,2025-10-26,East,Sports,Yoga Mat,Retail,2,24.99,0.0,49.98,26.67,23.31
ORD-00250,2023-09-02,East,Clothing,Sneakers,Corporate,3,79.99,0.05,227.97,120.54,107.43
ORD-00251,2023-07-15,East,Electronics,Tablet,Retail,5,329.0,0.05,1562.75,942.18,620.57
ORD-00252,2023-08-18,North,Home & Kitchen,Mixer,Corporate,3,39.99,0.05,113.97,65.79,48.18
ORD-00253,2024-09-08,South,Clothing,Dress,Retail,3,59.99,0.1,161.97,99.78,62.19
ORD-00254,2022-08-12,South,Clothing,T-Shirt,Retail,5,19.99,0.0,99.95,54.54,45.41
